,experiment,metric,page,corr,corr_type
0,interferer,APS,vocals-10-SIR,-0.9010825726622317,pearson
1,interferer,APS,vocals-11-SAR,-0.8501047889921615,pearson
2,interferer,APS,vocals-12-SAR,-0.6864345147337475,pearson
3,interferer,APS,vocals-18-SIR,-0.8517620809406555,pearson
4,interferer,APS,vocals-19-SIR,-0.8279457751934286,pearson
5,interferer,APS,vocals-20-SAR,-0.4922057173421549,pearson
6,interferer,APS,vocals-24-SAR,-0.822430373204825,pearson
7,interferer,APS,vocals-25-SAR,-0.9705384853166898,pearson
8,interferer,APS,vocals-26-SIR,-0.6898958907295446,pearson
9,interferer,APS,vocals-30-SIR,-0.971636899615907,pearson
10,interferer,APS,vocals-41-SIR,-0.9579056699002437,pearson
11,interferer,APS,vocals-42-SAR,-0.3069347484484605,pearson
12,interferer,APS,vocals-45-SIR,-0.8944487597953207,pearson
13,interferer,APS,vocals-47-SAR,-0.497654097036819,pearson
14,interferer,APS,vocals-48-SAR,-0.9023569004378514,pearson
15,interferer,APS,vocals-49-SIR,-0.8423229019470709,pearson
16,interferer,IPS,vocals-10-SIR,0.8829778876895411,pearson
17,interferer,IPS,vocals-11-SAR,0.915698021262906,pearson
18,interferer,IPS,vocals-12-SAR,0.9712292337390916,pearson
19,interferer,IPS,vocals-18-SIR,0.9169136147159823,pearson
20,interferer,IPS,vocals-19-SIR,0.9455560460753483,pearson
21,interferer,IPS,vocals-20-SAR,0.5640940656479985,pearson
22,interferer,IPS,vocals-24-SAR,0.9014321669254552,pearson
23,interferer,IPS,vocals-25-SAR,0.9279840967746699,pearson
24,interferer,IPS,vocals-26-SIR,0.9397036458040601,pearson
25,interferer,IPS,vocals-30-SIR,0.6842483705315121,pearson
26,interferer,IPS,vocals-41-SIR,0.9097395909910097,pearson
27,interferer,IPS,vocals-42-SAR,0.9377995126047539,pearson
28,interferer,IPS,vocals-45-SIR,0.9273785801875252,pearson
29,interferer,IPS,vocals-47-SAR,0.8360284660415136,pearson
30,interferer,IPS,vocals-48-SAR,0.9463822624099686,pearson
