,experiment,metric,page,corr,corr_type
0,interferer,APS,vocals-10-SIR,-0.9210455650948818,pearson
1,interferer,APS,vocals-11-SAR,-0.7403048020541293,pearson
2,interferer,APS,vocals-12-SAR,-0.5647999640835589,pearson
3,interferer,APS,vocals-18-SIR,-0.8046797921641372,pearson
4,interferer,APS,vocals-19-SIR,-0.820955947920849,pearson
5,interferer,APS,vocals-20-SAR,-0.7914755950555413,pearson
6,interferer,APS,vocals-24-SAR,-0.8032153853923018,pearson
7,interferer,APS,vocals-25-SAR,-0.8387652933343227,pearson
8,interferer,APS,vocals-26-SIR,-0.723854750990093,pearson
9,interferer,APS,vocals-30-SIR,-0.9647238344709486,pearson
10,interferer,APS,vocals-41-SIR,-0.9407965049298257,pearson
11,interferer,APS,vocals-42-SAR,-0.24024611888503955,pearson
12,interferer,APS,vocals-45-SIR,-0.8810305608314221,pearson
13,interferer,APS,vocals-47-SAR,-0.6415729495431,pearson
14,interferer,APS,vocals-48-SAR,-0.8781579097326415,pearson
15,interferer,APS,vocals-49-SIR,-0.7244956456848164,pearson
16,interferer,IPS,vocals-10-SIR,0.8667522386450425,pearson
17,interferer,IPS,vocals-11-SAR,0.9243749904280263,pearson
18,interferer,IPS,vocals-12-SAR,0.9730762501999692,pearson
19,interferer,IPS,vocals-18-SIR,0.9249021894634242,pearson
20,interferer,IPS,vocals-19-SIR,0.9454626025062741,pearson
21,interferer,IPS,vocals-20-SAR,0.6056995194725312,pearson
22,interferer,IPS,vocals-24-SAR,0.9040181865244261,pearson
23,interferer,IPS,vocals-25-SAR,0.935755978165284,pearson
24,interferer,IPS,vocals-26-SIR,0.9360913257852864,pearson
25,interferer,IPS,vocals-30-SIR,0.6610701128707333,pearson
26,interferer,IPS,vocals-41-SIR,0.9245660172956848,pearson
27,interferer,IPS,vocals-42-SAR,0.9362030345509259,pearson
28,interferer,IPS,vocals-45-SIR,0.9232635355816899,pearson
29,interferer,IPS,vocals-47-SAR,0.8577020823853247,pearson
30,interferer,IPS,vocals-48-SAR,0.9448684784724167,pearson
31,interferer,IPS,vocals-49-SIR,0.9601104718267915,pearson
32,interferer,SAR,vocals-10-SIR,-0.7783684792232272,pearson
33,interferer,SAR,vocals-11-SAR,-0.907599164612395,pearson
34,interferer,SAR,vocals-12-SAR,-0.22134452657799494,pearson
35,interferer,SAR,vocals-18-SIR,-0.11052075973308545,pearson
36,interferer,SAR,vocals-19-SIR,-0.4317553327436849,pearson
37,interferer,SAR,vocals-20-SAR,-0.19679651516010396,pearson
38,interferer,SAR,vocals-24-SAR,-0.8285929992112889,pearson
39,interferer,SAR,vocals-25-SAR,-0.6036723364478849,pearson
40,interferer,SAR,vocals-26-SIR,-0.40756876635530076,pearson
41,interferer,SAR,vocals-30-SIR,0.6159952066708277,pearson
42,interferer,SAR,vocals-41-SIR,0.8528333679202171,pearson
43,interferer,SAR,vocals-42-SAR,0.681853960544675,pearson
44,interferer,SAR,vocals-45-SIR,-0.8348158358109999,pearson
45,interferer,SAR,vocals-47-SAR,-0.2263688963963725,pearson
46,interferer,SAR,vocals-48-SAR,-0.918342369453324,pearson
47,interferer,SAR,vocals-49-SIR,-0.5845636186542627,pearson
48,interferer,SIR,vocals-10-SIR,0.9778084146876803,pearson
49,interferer,SIR,vocals-11-SAR,0.9589706958000919,pearson
50,interferer,SIR,vocals-12-SAR,0.9767531505626803,pearson
51,interferer,SIR,vocals-18-SIR,0.8490684792189706,pearson
52,interferer,SIR,vocals-19-SIR,0.9557184895255243,pearson
53,interferer,SIR,vocals-20-SAR,0.9887821709158321,pearson
54,interferer,SIR,vocals-24-SAR,0.8289993422465067,pearson
55,interferer,SIR,vocals-25-SAR,0.9485284839140512,pearson
56,interferer,SIR,vocals-26-SIR,0.8564171322868539,pearson
57,interferer,SIR,vocals-30-SIR,0.9713740133601559,pearson
58,interferer,SIR,vocals-41-SIR,0.9570790798877769,pearson
59,interferer,SIR,vocals-42-SAR,0.9566764358241902,pearson
60,interferer,SIR,vocals-45-SIR,0.9304655690934613,pearson
61,interferer,SIR,vocals-47-SAR,0.9583570369523879,pearson
62,interferer,SIR,vocals-48-SAR,0.9034220902459017,pearson
63,interferer,SIR,vocals-49-SIR,0.9742779715202524,pearson
64,interferer,TPS,vocals-10-SIR,-0.9655553554101833,pearson
65,interferer,TPS,vocals-11-SAR,-0.8104109820862854,pearson
66,interferer,TPS,vocals-12-SAR,-0.6348123392459034,pearson
67,interferer,TPS,vocals-18-SIR,-0.7127741120157927,pearson
68,interferer,TPS,vocals-19-SIR,-0.647246632040818,pearson
69,interferer,TPS,vocals-20-SAR,-0.7894573457873711,pearson
70,interferer,TPS,vocals-24-SAR,-0.781646266816345,pearson
71,interferer,TPS,vocals-25-SAR,-0.9010514314486374,pearson
72,interferer,TPS,vocals-26-SIR,-0.9508695083741898,pearson
73,interferer,TPS,vocals-30-SIR,-0.2430111693414138,pearson
74,interferer,TPS,vocals-41-SIR,-0.7577733866794065,pearson
75,interferer,TPS,vocals-42-SAR,0.105680297876005,pearson
76,interferer,TPS,vocals-45-SIR,-0.8603596070748488,pearson
77,interferer,TPS,vocals-47-SAR,-0.19767821466441962,pearson
78,interferer,TPS,vocals-48-SAR,-0.982866471856596,pearson
79,interferer,TPS,vocals-49-SIR,-0.8532230615602743,pearson
80,quality,APS,vocals-10-SIR,0.8904839737655734,pearson
81,quality,APS,vocals-11-SAR,0.7857791968888049,pearson
82,quality,APS,vocals-12-SAR,0.6335932177576422,pearson
83,quality,APS,vocals-18-SIR,0.46129277747299136,pearson
