is_replicate,page,page_duration,page_order,rating,sound,url,on_web,experiment,subject,normalised_rating
False,vocals-47-SAR,87.77142857142871,14,83,Quality,sounds/vocals-47-SAR/Quality.wav,False,interferer,H,83.0
False,vocals-47-SAR,87.77142857142871,14,37,STO1,sounds/vocals-47-SAR/STO1.wav,False,interferer,H,37.0
False,vocals-47-SAR,87.77142857142871,14,73,KAM1,sounds/vocals-47-SAR/KAM1.wav,False,interferer,H,73.0
False,vocals-47-SAR,87.77142857142871,14,0,Interferer,sounds/vocals-47-SAR/Interferer.wav,False,interferer,H,0.0
False,vocals-47-SAR,87.77142857142871,14,8,OZE,sounds/vocals-47-SAR/OZE.wav,False,interferer,H,8.0
False,vocals-47-SAR,87.77142857142871,14,100,ref,sounds/vocals-47-SAR/ref.wav,False,interferer,H,100.0
False,vocals-47-SAR,87.77142857142871,14,18,RAF1,sounds/vocals-47-SAR/RAF1.wav,False,interferer,H,18.0
False,vocals-47-SAR,87.77142857142871,14,23,GRA3,sounds/vocals-47-SAR/GRA3.wav,False,interferer,H,23.0
False,vocals-18-SIR,57.24879818594127,9,41,HUA,sounds/vocals-18-SIR/HUA.wav,False,interferer,H,41.0
False,vocals-18-SIR,57.24879818594127,9,92,Quality,sounds/vocals-18-SIR/Quality.wav,False,interferer,H,92.0
False,vocals-18-SIR,57.24879818594127,9,0,Interferer,sounds/vocals-18-SIR/Interferer.wav,False,interferer,H,0.0
False,vocals-18-SIR,57.24879818594127,9,25,UHL1,sounds/vocals-18-SIR/UHL1.wav,False,interferer,H,25.0
False,vocals-18-SIR,57.24879818594127,9,21,OZE,sounds/vocals-18-SIR/OZE.wav,False,interferer,H,21.0
False,vocals-18-SIR,57.24879818594127,9,100,ref,sounds/vocals-18-SIR/ref.wav,False,interferer,H,100.0
False,vocals-18-SIR,57.24879818594127,9,92,NUG1,sounds/vocals-18-SIR/NUG1.wav,False,interferer,H,92.0
False,vocals-18-SIR,57.24879818594127,9,38,GRA3,sounds/vocals-18-SIR/GRA3.wav,False,interferer,H,38.0
False,vocals-20-SAR,60.476371882085914,16,31,KAM2,sounds/vocals-20-SAR/KAM2.wav,False,interferer,H,30.303030303030305
False,vocals-20-SAR,60.476371882085914,16,6,HUA,sounds/vocals-20-SAR/HUA.wav,False,interferer,H,5.05050505050505
False,vocals-20-SAR,60.476371882085914,16,92,Quality,sounds/vocals-20-SAR/Quality.wav,False,interferer,H,91.91919191919192
False,vocals-20-SAR,60.476371882085914,16,1,Interferer,sounds/vocals-20-SAR/Interferer.wav,False,interferer,H,0.0
False,vocals-20-SAR,60.476371882085914,16,19,DUR,sounds/vocals-20-SAR/DUR.wav,False,interferer,H,18.181818181818183
False,vocals-20-SAR,60.476371882085914,16,100,ref,sounds/vocals-20-SAR/ref.wav,False,interferer,H,100.0
False,vocals-20-SAR,60.476371882085914,16,22,CHA,sounds/vocals-20-SAR/CHA.wav,False,interferer,H,21.21212121212121
False,vocals-20-SAR,60.476371882085914,16,63,KON,sounds/vocals-20-SAR/KON.wav,False,interferer,H,62.62626262626262
False,vocals-26-SIR,46.57922902494329,12,6,HUA,sounds/vocals-26-SIR/HUA.wav,False,interferer,H,6.0
False,vocals-26-SIR,46.57922902494329,12,92,Quality,sounds/vocals-26-SIR/Quality.wav,False,interferer,H,92.0
False,vocals-26-SIR,46.57922902494329,12,43,KAM1,sounds/vocals-26-SIR/KAM1.wav,False,interferer,H,43.0
False,vocals-26-SIR,46.57922902494329,12,0,Interferer,sounds/vocals-26-SIR/Interferer.wav,False,interferer,H,0.0
False,vocals-26-SIR,46.57922902494329,12,100,ref,sounds/vocals-26-SIR/ref.wav,False,interferer,H,100.0
False,vocals-26-SIR,46.57922902494329,12,21,RAF1,sounds/vocals-26-SIR/RAF1.wav,False,interferer,H,21.0
False,vocals-26-SIR,46.57922902494329,12,13,JEO1,sounds/vocals-26-SIR/JEO1.wav,False,interferer,H,13.0
False,vocals-26-SIR,46.57922902494329,12,50,KON,sounds/vocals-26-SIR/KON.wav,False,interferer,H,50.0
False,vocals-49-SIR,58.514285714285506,2,15,HUA,sounds/vocals-49-SIR/HUA.wav,False,interferer,H,9.574468085106384
False,vocals-49-SIR,58.514285714285506,2,91,Quality,sounds/vocals-49-SIR/Quality.wav,False,interferer,H,90.42553191489361
False,vocals-49-SIR,58.514285714285506,2,77,NUG2,sounds/vocals-49-SIR/NUG2.wav,False,interferer,H,75.53191489361703
False,vocals-49-SIR,58.514285714285506,2,25,JEO2,sounds/vocals-49-SIR/JEO2.wav,False,interferer,H,20.21276595744681
False,vocals-49-SIR,58.514285714285506,2,87,KAM1,sounds/vocals-49-SIR/KAM1.wav,False,interferer,H,86.17021276595744
False,vocals-49-SIR,58.514285714285506,2,6,Interferer,sounds/vocals-49-SIR/Interferer.wav,False,interferer,H,0.0
False,vocals-49-SIR,58.514285714285506,2,100,ref,sounds/vocals-49-SIR/ref.wav,False,interferer,H,100.0
False,vocals-49-SIR,58.514285714285506,2,32,STO2,sounds/vocals-49-SIR/STO2.wav,False,interferer,H,27.659574468085108
