experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-10-SIR,HUA,APS,54.15359919267891,67.04545454545455,49.0,74.15730337078651,63.48320331567339
quality,vocals-10-SIR,KAM1,APS,8.9246267916013,0.0,0.0,8.0,6.752294156184263
quality,vocals-10-SIR,KON,APS,44.90572609281815,26.0,17.894736842105264,37.0,51.8835533370198
quality,vocals-10-SIR,NUG2,APS,43.136330253206616,39.0,30.337078651685392,45.45454545454545,49.664191956132264
quality,vocals-10-SIR,RAF2,APS,44.60132639647693,63.04347826086956,50.0,76.0,51.50174339077175
quality,vocals-11-SAR,GRA3,APS,18.96501522244761,49.0,43.33333333333334,55.0,19.345999777998404
quality,vocals-11-SAR,HUA,APS,43.14057543944315,49.0,36.0,59.0,49.66951671285267
quality,vocals-11-SAR,KAM1,APS,7.971139621558198,0.0,0.0,1.0,5.556330791180532
quality,vocals-11-SAR,RAF2,APS,44.97986380406719,61.0,47.77777777777778,71.0,51.976544610950704
quality,vocals-11-SAR,STO1,APS,14.46329696411928,17.171717171717173,7.0,20.0,13.699473756798032
quality,vocals-12-SAR,DUR,APS,26.083823915169553,18.0,11.996052631578948,28.748155714447847,28.27515442890018
quality,vocals-12-SAR,GRA2,APS,2.025705248830036,1.5,0.0,4.7857142857142865,-1.9010550260773775
quality,vocals-12-SAR,GRA3,APS,20.91919529314604,51.844086021505376,47.16645569620253,56.5,21.797136874127414
quality,vocals-12-SAR,KAM2,APS,14.24766226868066,8.5,2.9875000000000007,14.0,13.429002161509896
quality,vocals-12-SAR,KON,APS,16.316702520504574,14.368421052631579,7.0,18.0,16.024208913780758
quality,vocals-18-SIR,GRA3,APS,31.95253033892589,27.125,16.0,39.77272727272727,35.63630002507779
quality,vocals-18-SIR,HUA,APS,47.83593527695113,48.36363636363636,29.5,63.39735894357743,55.558928261951515
quality,vocals-18-SIR,NUG1,APS,5.111704295970531,24.621212121212118,10.040404040404042,40.0,1.969727844183594
quality,vocals-18-SIR,OZE,APS,22.51385182124459,19.981060606060606,10.5,28.40909090909091,23.797321928828985
quality,vocals-18-SIR,UHL1,APS,23.055167225463162,25.625,18.0,48.5,24.47629634264132
quality,vocals-19-SIR,GRA3,APS,33.825522235258525,36.95652173913044,18.0,41.0,37.98560241879687
quality,vocals-19-SIR,HUA,APS,46.17866763118735,59.78260869565217,52.17391304347826,64.04999999999995,53.480209792934396
quality,vocals-19-SIR,KAM1,APS,8.27490985077345,3.0,0.0,11.0,5.9373511939026855
quality,vocals-19-SIR,KAM2,APS,10.28171458827126,10.227272727272727,5.0,20.0,8.454495652862539
quality,vocals-19-SIR,KON,APS,0.20634153491522986,0.0,0.0,9.677419354838712,-4.183091342686518
quality,vocals-20-SAR,CHA,APS,54.80443482825618,66.66666666666667,62.0,78.82352941176471,64.29954946195048
quality,vocals-20-SAR,DUR,APS,50.61370250284936,47.95918367346939,36.900000000000006,59.0,59.043094533986554
quality,vocals-20-SAR,HUA,APS,62.39967218150985,74.0,67.05882352941177,81.04999999999995,73.82629078411075
quality,vocals-20-SAR,KAM2,APS,41.494940540989475,35.0,29.925000000000004,51.0,47.605389252560514
quality,vocals-20-SAR,KON,APS,39.044495639617146,15.730337078651687,8.0,25.0,44.531784885268394
quality,vocals-24-SAR,GRA3,APS,27.47684644717524,43.0,27.272727272727273,55.0,30.02242903022305
quality,vocals-24-SAR,HUA,APS,49.32814913477168,73.5632183908046,55.555555555555564,83.0,57.43061900176879
quality,vocals-24-SAR,KAM1,APS,24.154887335844588,17.708333333333332,10.991666666666667,31.03448275862069,25.85568036069223
quality,vocals-24-SAR,RAF2,APS,50.33231602291779,65.0,52.0,77.22358563678635,58.69015017146272
quality,vocals-24-SAR,STO2,APS,17.2882988419573,11.0,4.0,15.0,17.24288667110949
quality,vocals-25-SAR,GRA2,APS,4.9744089655361545,3.0,0.0,8.98876404494382,1.797517676554203
