experiment,page,sound,metric,score,subjective_median,fitted_score
quality,vocals-10-SIR,HUA,APS,15.009277447322532,20.61224489795918,19.939511804523924
quality,vocals-10-SIR,KAM1,APS,-30.21969495375508,-34.177215189873415,-38.728299572721355
quality,vocals-10-SIR,KON,APS,5.76140434746177,-10.2,7.943827492881128
quality,vocals-10-SIR,NUG2,APS,3.9920085078502368,-0.21739130434782794,5.648692851096988
quality,vocals-10-SIR,RAF2,APS,5.457004651120549,23.6,7.548981821618165
quality,vocals-11-SAR,GRA3,APS,-6.938962987879474,15.399999999999999,-8.53018718612084
quality,vocals-11-SAR,HUA,APS,17.23659722911606,14.7,22.82863286781734
quality,vocals-11-SAR,KAM1,APS,-17.932838588768888,-31.6,-22.79066196185357
quality,vocals-11-SAR,RAF2,APS,19.075885593740107,24.4,25.21442713011534
quality,vocals-11-SAR,STO1,APS,-11.440681246207806,-17.6,-14.369496452559428
quality,vocals-12-SAR,DUR,APS,10.16520606590338,-0.10000000000000053,13.656126376641867
quality,vocals-12-SAR,GRA2,APS,-13.892912600436137,-17.299999999999997,-17.550356837081598
quality,vocals-12-SAR,GRA3,APS,5.000577443879866,27.5,6.95693685839452
quality,vocals-12-SAR,KAM2,APS,-1.6709555805855132,-6.6,-1.6969020483473036
quality,vocals-12-SAR,KON,APS,0.39808467123840074,-4.199999999999999,0.9869100477913508
quality,vocals-18-SIR,GRA3,APS,5.8586925472148295,-4.799999999999999,8.0700228373548
quality,vocals-18-SIR,HUA,APS,21.742097485240073,20.5,28.672847873244173
quality,vocals-18-SIR,NUG1,APS,-20.982133495740527,-6.363636363636367,-26.745990790671808
quality,vocals-18-SIR,OZE,APS,-3.5799859704664705,-10.184789067142006,-4.173160713562889
quality,vocals-18-SIR,UHL1,APS,-3.038670566247898,1.34090909090909,-3.471004808965423
quality,vocals-19-SIR,GRA3,APS,14.072091067177364,10.0,18.72386017998315
quality,vocals-19-SIR,HUA,APS,26.42523646310619,33.0,34.74748321473445
quality,vocals-19-SIR,KAM1,APS,-11.47852131730771,-17.2,-14.418579905840312
quality,vocals-19-SIR,KAM2,APS,-9.4717165798099,-12.8,-11.815495299662556
quality,vocals-19-SIR,KON,APS,-19.547089633165932,-17.6,-24.884553791815875
quality,vocals-20-SAR,CHA,APS,5.132985689611772,18.799999999999997,7.12868743270574
quality,vocals-20-SAR,DUR,APS,0.9422533642049515,2.3999999999999986,1.6927670359462057
quality,vocals-20-SAR,HUA,APS,12.728223042865444,26.0,16.98069000430247
quality,vocals-20-SAR,KAM2,APS,-8.17650859765493,-11.948051948051937,-10.135443475412846
quality,vocals-20-SAR,KON,APS,-10.626953499027259,-29.213483146067418,-13.313986600142758
quality,vocals-24-SAR,GRA3,APS,-6.239253109358074,3.3707865168539257,-7.622573216741542
quality,vocals-24-SAR,HUA,APS,15.612049578238363,27.848101265822777,20.721385011070346
quality,vocals-24-SAR,KAM1,APS,-9.561212220688727,-19.4,-11.931582690099036
quality,vocals-24-SAR,RAF2,APS,16.616216466384472,21.866666666666667,22.023918994434244
quality,vocals-24-SAR,STO2,APS,-16.427800714576016,-27.6,-20.838433701265146
quality,vocals-25-SAR,GRA2,APS,-32.71799548725872,-46.900000000000006,-41.96891762531657
quality,vocals-25-SAR,HUA,APS,9.643656980549792,23.690934277358778,12.97960993730817
quality,vocals-25-SAR,KON,APS,-9.218443631380051,-28.650000000000002,-11.486967615379216
quality,vocals-25-SAR,RAF1,APS,16.707215082085085,32.741573033707866,22.141955937086223
quality,vocals-25-SAR,RAF3,APS,15.585567056003896,20.5,20.687033763700235
quality,vocals-26-SIR,HUA,APS,22.432106926366735,31.590909090909093,29.56787912404422
quality,vocals-26-SIR,JEO1,APS,3.5963351819756753,-7.799999999999997,5.135453508766429
quality,vocals-26-SIR,KAM1,APS,-11.51512021507611,-18.0,-14.466053397208876
quality,vocals-26-SIR,KON,APS,-29.706967101541565,-33.93939393939394,-38.06322541063834
quality,vocals-26-SIR,RAF1,APS,15.19364520827527,26.666666666666664,20.178660572435412
quality,vocals-30-SIR,CHA,APS,2.237928254411649,3.6000000000000014,3.373424500166384
quality,vocals-30-SIR,HUA,APS,3.494864231584714,14.399999999999999,5.003832597174264
quality,vocals-30-SIR,JEO2,APS,-4.877578053125475,-28.700000000000003,-5.856305023696089
quality,vocals-30-SIR,NUG3,APS,-7.605195505812816,-4.399999999999999,-9.394376700507621
quality,vocals-30-SIR,RAF1,APS,6.749981072941964,18.299999999999997,9.226139024261949
quality,vocals-41-SIR,DUR,APS,-3.010253633260909,-18.90817901234568,-3.434144381325887
quality,vocals-41-SIR,HUA,APS,19.35833428174618,29.045454545454547,25.58079951206439
quality,vocals-41-SIR,NUG1,APS,-25.33866681346547,-25.555555555555554,-32.39697646146016
quality,vocals-41-SIR,RAF3,APS,18.93405058883892,17.900000000000002,25.030448833185577
quality,vocals-41-SIR,UHL1,APS,-9.943464423858739,-2.604938271604933,-12.427413105065094
quality,vocals-42-SAR,CHA,APS,13.127264754361654,7.6305609284332725,17.498298577278913
quality,vocals-42-SAR,KAM2,APS,-14.207129574389295,-19.2,-17.957936783756963
quality,vocals-42-SAR,KON,APS,-7.802088925887418,-17.0,-9.649772864009277
