experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-10-SIR,HUA,APS,54.15359919267891,67.02272727272728,50.0,74.15730337078651,63.26276549767894
quality,vocals-10-SIR,KAM1,APS,8.9246267916013,0.5,0.0,8.0,6.864922673808099
quality,vocals-10-SIR,KON,APS,44.90572609281815,27.5,17.894736842105264,37.0,51.73121689392105
quality,vocals-10-SIR,NUG2,APS,43.136330253206616,38.4873417721519,30.337078651685392,45.45454545454545,49.524885351149926
quality,vocals-10-SIR,RAF2,APS,44.60132639647693,63.02173913043478,50.0,76.0,51.35164854826753
quality,vocals-11-SAR,GRA3,APS,18.96501522244761,49.752525252525245,43.33333333333334,55.0,19.38469083462508
quality,vocals-11-SAR,HUA,APS,43.14057543944315,49.75252525252525,36.0,60.0,49.53017884630172
quality,vocals-11-SAR,KAM1,APS,7.971139621558198,0.0,0.0,1.0,5.675980792179432
quality,vocals-11-SAR,RAF2,APS,44.97986380406719,60.5,47.77777777777778,71.0,51.82366221744659
quality,vocals-11-SAR,STO1,APS,14.46329696411928,16.58585858585859,7.0,20.0,13.77131548487909
quality,vocals-12-SAR,DUR,APS,26.083823915169553,18.0,12.0,28.7371763556424,28.26142254953293
quality,vocals-12-SAR,GRA2,APS,2.025705248830036,2.5,0.0,4.7857142857142865,-1.737622822320839
quality,vocals-12-SAR,GRA3,APS,20.91919529314604,51.0,47.218212203100556,56.777777777777786,21.82143734081289
quality,vocals-12-SAR,KAM2,APS,14.24766226868066,8.5,3.0,14.0,13.502431824359956
quality,vocals-12-SAR,KON,APS,16.316702520504574,14.368421052631579,7.0,17.333333333333336,16.082402155851437
quality,vocals-18-SIR,GRA3,APS,31.95253033892589,28.5,16.0,39.274118738404454,35.579350967879336
quality,vocals-18-SIR,HUA,APS,47.83593527695113,48.36363636363636,29.5,63.39735894357743,55.38501374657423
quality,vocals-18-SIR,NUG1,APS,5.111704295970531,23.849607182940513,12.0,38.8235294117647,2.110434738480567
quality,vocals-18-SIR,OZE,APS,22.51385182124459,19.606060606060606,10.5,28.78787878787879,23.809879338394484
quality,vocals-18-SIR,UHL1,APS,23.055167225463162,24.587912087912088,17.99367088607595,48.5,24.484867503381665
quality,vocals-19-SIR,GRA3,APS,33.825522235258525,37.16512955643391,18.0,41.0,37.91486064170148
quality,vocals-19-SIR,HUA,APS,46.17866763118735,59.689284145805885,52.17391304347826,66.0,53.318499403200704
quality,vocals-19-SIR,KAM1,APS,8.27490985077345,3.0,0.0,11.0,6.054764229705526
quality,vocals-19-SIR,KAM2,APS,10.28171458827126,13.613636363636363,5.0,20.0,8.557130570465112
quality,vocals-19-SIR,KON,APS,0.20634153491522986,1.0,0.0,9.677419354838712,-4.006261337185184
quality,vocals-20-SAR,CHA,APS,54.80443482825618,66.86274509803923,62.0,78.82352941176471,64.07431888770437
quality,vocals-20-SAR,DUR,APS,50.61370250284936,47.4795918367347,33.0,66.0,58.84872452952749
quality,vocals-20-SAR,HUA,APS,62.39967218150985,74.01685393258427,67.05882352941177,83.0,73.5451288512884
quality,vocals-20-SAR,KAM2,APS,41.494940540989475,35.47752808988764,27.0,51.0,47.47816984805494
quality,vocals-20-SAR,KON,APS,39.044495639617146,15.51822976381564,8.0,25.0,44.42261056692346
quality,vocals-24-SAR,GRA3,APS,27.47684644717524,41.5,27.272727272727273,55.0,29.998438927298245
quality,vocals-24-SAR,HUA,APS,49.32814913477168,70.87251828631139,55.555555555555564,83.0,57.24571581750963
quality,vocals-24-SAR,KAM1,APS,24.154887335844588,18.854166666666664,10.666666666666666,31.03448275862069,25.856153178093653
quality,vocals-24-SAR,RAF2,APS,50.33231602291779,65.83333333333334,52.0,77.55102040816327,58.497852298179495
quality,vocals-24-SAR,STO2,APS,17.2882988419573,11.0,4.0,15.0,17.293925073940915
quality,vocals-25-SAR,GRA2,APS,4.9744089655361545,3.0,0.0,8.98876404494382,1.9392356142195677
quality,vocals-25-SAR,HUA,APS,47.33606143334467,73.94733855408012,70.0,88.0,54.76170074681194
quality,vocals-25-SAR,KON,APS,28.473960821414824,23.0,13.636363636363635,34.831460674157306,31.241781341914916
quality,vocals-25-SAR,RAF1,APS,54.39961953487996,84.54545454545455,80.27160493827161,92.20779220779221,63.56953825536819
quality,vocals-25-SAR,RAF3,APS,53.27797150879877,68.0,59.0,85.0,62.170909771889214
quality,vocals-26-SIR,HUA,APS,57.329478793716056,74.43181818181819,68.0,85.0,67.22289877195522
quality,vocals-26-SIR,JEO1,APS,38.493707049324996,29.272727272727273,21.0,35.0,43.7358099014337
quality,vocals-26-SIR,KAM1,APS,23.38225165227321,21.240963855421683,14.0,33.0,24.892722360878484
quality,vocals-26-SIR,KON,APS,5.190404765807754,5.5353535353535355,0.0,12.5,2.20856955102251
quality,vocals-26-SIR,RAF1,APS,50.09101707562459,70.36363636363637,58.064516129032256,85.0,58.196966839577236
quality,vocals-30-SIR,CHA,APS,57.45152640103674,57.78787878787879,51.68539325842696,72.0,67.37508489092477
quality,vocals-30-SIR,HUA,APS,58.7084623782098,72.51685393258427,50.746268656716424,79.0,68.94240941582567
quality,vocals-30-SIR,JEO2,APS,50.33602009349961,23.360724467549893,18.0,34.343434343434346,58.502471054242086
quality,vocals-30-SIR,NUG3,APS,47.60840264081227,46.30952380952381,37.0,59.595959595959606,55.10129406051843
quality,vocals-30-SIR,RAF1,APS,61.96357921956705,73.87878787878788,67.0,80.95238095238095,73.00134682356185
quality,vocals-41-SIR,DUR,APS,32.93226782757051,28.5,23.5,42.388888888888886,36.801025438023096
quality,vocals-41-SIR,HUA,APS,55.3008557425776,83.02215189873418,78.0,88.02941176470588,64.69332628968803
