experiment,page,sound,metric,score,subjective_median,fitted_score
quality,vocals-10-SIR,HUA,APS,54.15359919267891,67.04545454545455,59.43200487011388
quality,vocals-10-SIR,KAM1,APS,8.9246267916013,0.0,-2.084221991640545
quality,vocals-10-SIR,KON,APS,44.90572609281815,26.0,46.853911020115284
quality,vocals-10-SIR,NUG2,APS,43.136330253206616,39.0,44.44734394376061
quality,vocals-10-SIR,RAF2,APS,44.60132639647693,63.04347826086956,46.439894963974915
quality,vocals-11-SAR,GRA3,APS,18.96501522244761,49.0,26.442730984605358
quality,vocals-11-SAR,HUA,APS,43.14057543944315,49.0,57.072978840716594
quality,vocals-11-SAR,KAM1,APS,7.971139621558198,0.0,12.513575609013975
quality,vocals-11-SAR,RAF2,APS,44.97986380406719,61.0,59.40334297629887
quality,vocals-11-SAR,STO1,APS,14.46329696411928,17.171717171717173,20.739088761082378
quality,vocals-12-SAR,DUR,APS,26.083823915169553,18.0,31.784894694927395
quality,vocals-12-SAR,GRA2,APS,2.025705248830036,1.5,1.1539727696462134
quality,vocals-12-SAR,GRA3,APS,20.91919529314604,51.844086021505376,25.209262647870712
quality,vocals-12-SAR,KAM2,APS,14.24766226868066,8.5,16.715032071135965
quality,vocals-12-SAR,KON,APS,16.316702520504574,14.368421052631579,19.349344890556658
quality,vocals-18-SIR,GRA3,APS,31.95253033892589,27.125,32.43377163460225
quality,vocals-18-SIR,HUA,APS,47.83593527695113,48.36363636363636,41.35483552691977
quality,vocals-18-SIR,NUG1,APS,5.111704295970531,24.621212121212118,17.358369037610032
quality,vocals-18-SIR,OZE,APS,22.51385182124459,19.981060606060606,27.132448999825396
quality,vocals-18-SIR,UHL1,APS,23.055167225463162,25.625,27.436483891951617
quality,vocals-19-SIR,GRA3,APS,33.825522235258525,36.95652173913044,40.462273347892676
quality,vocals-19-SIR,HUA,APS,46.17866763118735,59.78260869565217,56.67522643649558
quality,vocals-19-SIR,KAM1,APS,8.27490985077345,3.0,6.9282326888022485
quality,vocals-19-SIR,KAM2,APS,10.28171458827126,10.227272727272727,9.562074518087353
quality,vocals-19-SIR,KON,APS,0.20634153491522986,0.0,-3.6614038292224924
quality,vocals-20-SAR,CHA,APS,54.80443482825618,66.66666666666667,60.05493609163892
quality,vocals-20-SAR,DUR,APS,50.61370250284936,47.95918367346939,50.107778104739424
quality,vocals-20-SAR,HUA,APS,62.39967218150985,74.0,78.08305624686275
quality,vocals-20-SAR,KAM2,APS,41.494940540989475,35.0,28.463406945637885
quality,vocals-20-SAR,KON,APS,39.044495639617146,15.730337078651687,22.647010029908685
quality,vocals-24-SAR,GRA3,APS,27.47684644717524,43.0,31.134748742399168
quality,vocals-24-SAR,HUA,APS,49.32814913477168,73.5632183908046,69.37757069694365
quality,vocals-24-SAR,KAM1,APS,24.154887335844588,17.708333333333332,25.32085779726078
quality,vocals-24-SAR,RAF2,APS,50.33231602291779,65.0,71.13500255650135
quality,vocals-24-SAR,STO2,APS,17.2882988419573,11.0,13.303371931032995
quality,vocals-25-SAR,GRA2,APS,4.9744089655361545,3.0,-2.905114357101823
quality,vocals-25-SAR,HUA,APS,47.33606143334467,73.94733855408012,67.00441667136349
quality,vocals-25-SAR,KON,APS,28.473960821414824,23.0,35.87624930362905
quality,vocals-25-SAR,RAF1,APS,54.39961953487996,85.0,78.66142260723687
quality,vocals-25-SAR,RAF3,APS,53.27797150879877,70.5,76.81036432895256
quality,vocals-26-SIR,HUA,APS,57.329478793716056,76.13636363636364,72.81568808134183
quality,vocals-26-SIR,JEO1,APS,38.493707049324996,29.0,46.245754678999965
quality,vocals-26-SIR,KAM1,APS,23.38225165227321,22.0,24.92938023144447
quality,vocals-26-SIR,KON,APS,5.190404765807754,6.0,-0.7322261417014486
quality,vocals-26-SIR,RAF1,APS,50.09101707562459,72.72727272727273,62.605039513551546
quality,vocals-30-SIR,CHA,APS,57.45152640103674,58.0,62.05520679755611
quality,vocals-30-SIR,HUA,APS,58.7084623782098,72.0,65.59656347939182
quality,vocals-30-SIR,JEO2,APS,50.33602009349961,25.373134328358212,42.00760989169464
quality,vocals-30-SIR,NUG3,APS,47.60840264081227,47.61904761904761,34.32267886339295
quality,vocals-30-SIR,RAF1,APS,61.96357921956705,75.75757575757575,74.7676986729461
quality,vocals-41-SIR,DUR,APS,32.93226782757051,28.5,47.708904156060775
quality,vocals-41-SIR,HUA,APS,55.3008557425776,83.74746054070948,74.25069601856677
quality,vocals-41-SIR,NUG1,APS,10.603854647365953,26.424050632911396,21.2147822427403
quality,vocals-41-SIR,RAF3,APS,54.876572049670344,71.5,73.74725568024105
quality,vocals-41-SIR,UHL1,APS,25.999057036972683,46.23232323232323,39.482196308335205
quality,vocals-42-SAR,CHA,APS,46.26980163505866,43.84042553191489,54.023616270632246
quality,vocals-42-SAR,KAM2,APS,18.935407306307713,11.851063829787233,16.685975206178174
quality,vocals-42-SAR,KON,APS,25.34044795480959,19.270114942528735,25.434993233091568
quality,vocals-42-SAR,NUG3,APS,25.23023530971933,39.0,25.28444736279892
quality,vocals-42-SAR,UHL3,APS,49.93679219758974,66.5,59.03257223152996
quality,vocals-45-SIR,HUA,APS,49.7131050719166,60.98550724637681,56.69780803792582
quality,vocals-45-SIR,KAM2,APS,21.372835204846037,15.142857142857142,12.254970776640569
quality,vocals-45-SIR,RAF2,APS,51.80854684944492,61.3080808080808,59.98385218450597
quality,vocals-45-SIR,STO1,APS,20.89773084549764,14.642857142857142,11.509918389218456
quality,vocals-45-SIR,UHL1,APS,35.155464391484266,22.235955056179776,33.868708008060906
quality,vocals-47-SAR,GRA3,APS,38.74214885315753,51.0,44.859233669979915
quality,vocals-47-SAR,KAM1,APS,20.521975550650765,8.0,10.123970598558415
quality,vocals-47-SAR,OZE,APS,25.840834304087075,29.0,20.263937709350095
quality,vocals-47-SAR,RAF1,APS,46.88234410899235,58.8780487804878,60.377846965785295
quality,vocals-47-SAR,STO1,APS,31.080568228890492,19.0,30.25305983681406
quality,vocals-48-SAR,HUA,APS,53.25595433410022,67.3913043478261,59.48145168870213
quality,vocals-48-SAR,JEO1,APS,38.162867240780976,31.0,41.12588492500377
quality,vocals-48-SAR,KAM2,APS,21.81490125999686,18.0,21.244188148485648
quality,vocals-48-SAR,NUG3,APS,0.3522826714791642,0.0,-4.857730298649701
quality,vocals-48-SAR,RAF3,APS,56.84143044409032,64.44444444444444,63.841954328728654
quality,vocals-49-SIR,HUA,APS,41.12405318571106,52.5,51.85626773547963
quality,vocals-49-SIR,JEO2,APS,43.2595947354876,56.651162790697676,55.66372790995456
quality,vocals-49-SIR,KAM1,APS,23.32228478062761,16.354166666666664,20.117468626338667
quality,vocals-49-SIR,NUG2,APS,19.111348338647453,20.826086956521742,12.609783841763889
quality,vocals-49-SIR,STO2,APS,22.75491680716053,13.021739130434781,19.105907430784082
interferer,vocals-10-SIR,HUA,IPS,33.248124619487896,18.5,27.2068601976233
interferer,vocals-10-SIR,KAM1,IPS,71.65556883502555,89.56639566395665,85.97762947712906
interferer,vocals-10-SIR,KON,IPS,26.55120775594088,30.0,16.959290646709782
interferer,vocals-10-SIR,NUG2,IPS,47.26212433559528,60.5,48.65097242171176
interferer,vocals-10-SIR,RAF2,IPS,44.20093520424585,24.195121951219512,43.96676487200226
interferer,vocals-11-SAR,GRA3,IPS,29.7524556655368,32.87671232876713,17.974874200934813
interferer,vocals-11-SAR,HUA,IPS,40.301321901750285,15.306122448979592,32.861069317435316
interferer,vocals-11-SAR,KAM1,IPS,78.2470617448772,93.0,86.40878473026376
interferer,vocals-11-SAR,RAF2,IPS,36.000619269057815,26.66666666666667,26.792066536024763
interferer,vocals-11-SAR,STO1,IPS,64.81156060591171,63.63636363636363,67.44907029611844
interferer,vocals-12-SAR,DUR,IPS,68.78998636577036,50.0,61.16725299062562
interferer,vocals-12-SAR,GRA2,IPS,80.80928151063551,86.66666666666669,80.06902255282213
interferer,vocals-12-SAR,GRA3,IPS,41.63417860049811,24.0,18.461519046337663
interferer,vocals-12-SAR,KAM2,IPS,77.57851550440479,77.0,74.98825917833756
interferer,vocals-12-SAR,KON,IPS,50.866609123547114,30.0,32.98061289854373
interferer,vocals-18-SIR,GRA3,IPS,50.41237697237359,39.02073104200764,41.37356200284458
interferer,vocals-18-SIR,HUA,IPS,38.38531295993554,12.0,4.773049166775067
interferer,vocals-18-SIR,NUG1,IPS,66.19646257162562,93.0,89.4073653470021
interferer,vocals-18-SIR,OZE,IPS,51.962909943991136,24.0,46.092111922571235
interferer,vocals-18-SIR,UHL1,IPS,55.14378279649607,69.3974358974359,55.7720785002507
interferer,vocals-19-SIR,GRA3,IPS,30.287731770083603,23.111111111111107,29.183045659310395
interferer,vocals-19-SIR,HUA,IPS,18.35082957933972,9.55050505050505,13.464093020534193
interferer,vocals-19-SIR,KAM1,IPS,71.1806478690834,87.9761904761905,83.03234434252002
interferer,vocals-19-SIR,KAM2,IPS,61.7419948248997,60.51989801574104,70.60317823186776
interferer,vocals-19-SIR,KON,IPS,34.80197589073924,50.252525252525245,35.12756865184049
interferer,vocals-20-SAR,CHA,IPS,33.49499812162098,23.202127659574465,21.676280162057836
interferer,vocals-20-SAR,DUR,IPS,46.811206711299455,59.25531914893617,35.16995556326791
interferer,vocals-20-SAR,HUA,IPS,32.374027430845054,9.0,20.540370151807252
interferer,vocals-20-SAR,KAM2,IPS,56.78605394029562,30.651515151515152,45.2777388544565
interferer,vocals-20-SAR,KON,IPS,46.09540791834482,35.0,34.4446172284363
interferer,vocals-24-SAR,GRA3,IPS,40.99365476984129,26.660724896019016,25.62668956900562
interferer,vocals-24-SAR,HUA,IPS,43.320932256342466,10.391304347826086,28.911646041041898
interferer,vocals-24-SAR,KAM1,IPS,70.0169410930815,73.95652173913044,66.59311183720888
interferer,vocals-24-SAR,RAF2,IPS,27.10880416658875,17.0,6.028197289091501
interferer,vocals-24-SAR,STO2,IPS,62.511387990867384,55.15010351966874,55.99900976629634
interferer,vocals-25-SAR,GRA2,IPS,79.44003213158352,92.5,82.39684313777687
interferer,vocals-25-SAR,HUA,IPS,36.1906467529929,7.409090909090908,28.290720139740266
interferer,vocals-25-SAR,KON,IPS,49.4152702634799,37.875,44.83507331372411
interferer,vocals-25-SAR,RAF1,IPS,17.957854176024636,12.25,5.481015235691501
interferer,vocals-25-SAR,RAF3,IPS,15.999001709962835,14.0,3.030439082158175
interferer,vocals-26-SIR,HUA,IPS,38.62253699020144,8.0,11.447616038494807
interferer,vocals-26-SIR,JEO1,IPS,63.53511878814418,58.95977011494253,45.92108526784184
interferer,vocals-26-SIR,KAM1,IPS,71.12681415511912,50.5,56.42630222024936
interferer,vocals-26-SIR,KON,IPS,66.68881623136431,45.37234042553192,50.285100713904434
interferer,vocals-26-SIR,RAF1,IPS,43.17846482649243,19.0,17.752006299983996
interferer,vocals-30-SIR,CHA,IPS,64.04871495928091,34.5,29.602928186275506
interferer,vocals-30-SIR,HUA,IPS,67.15813297232121,14.0,49.187422576629274
interferer,vocals-30-SIR,JEO2,IPS,69.37259965469238,68.30232558139535,63.135116369050024
interferer,vocals-30-SIR,NUG3,IPS,67.91912969117296,76.70224719101125,53.980517589562965
