track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename,filepath
16,0,1,3,1,bass,GRA3,SAR,14.256254705620895,Forkupines - Semantics,Pop/Rock,16_GRA3_bass.m4a,/vol/vssp/maruss/data2/MUS2017/GRA3/Test/016 - Forkupines - Semantics/bass.wav
16,0,2,3,1,drums,GRA3,SAR,11.979852140483901,Forkupines - Semantics,Pop/Rock,16_GRA3_drums.m4a,/vol/vssp/maruss/data2/MUS2017/GRA3/Test/016 - Forkupines - Semantics/drums.wav
16,0,3,3,1,other,GRA3,SAR,12.070561511104719,Forkupines - Semantics,Pop/Rock,16_GRA3_other.m4a,/vol/vssp/maruss/data2/MUS2017/GRA3/Test/016 - Forkupines - Semantics/other.wav
16,0,4,3,1,vocals,GRA3,SAR,8.527564123633743,Forkupines - Semantics,Pop/Rock,16_GRA3_vocals.m4a,/vol/vssp/maruss/data2/MUS2017/GRA3/Test/016 - Forkupines - Semantics/vocals.wav
16,0,1,10,1,bass,KON,SAR,3.4305551002233523,Forkupines - Semantics,Pop/Rock,16_KON_bass.m4a,/vol/vssp/maruss/data2/MUS2017/KON/Test/016 - Forkupines - Semantics/bass.wav
16,0,2,10,1,drums,KON,SAR,6.838061318073063,Forkupines - Semantics,Pop/Rock,16_KON_drums.m4a,/vol/vssp/maruss/data2/MUS2017/KON/Test/016 - Forkupines - Semantics/drums.wav
16,0,3,10,1,other,KON,SAR,5.552770145269772,Forkupines - Semantics,Pop/Rock,16_KON_other.m4a,/vol/vssp/maruss/data2/MUS2017/KON/Test/016 - Forkupines - Semantics/other.wav
16,0,4,10,1,vocals,KON,SAR,-0.4467516896440649,Forkupines - Semantics,Pop/Rock,16_KON_vocals.m4a,/vol/vssp/maruss/data2/MUS2017/KON/Test/016 - Forkupines - Semantics/vocals.wav
16,0,1,13,1,bass,NUG3,SAR,4.629334821794629,Forkupines - Semantics,Pop/Rock,16_NUG3_bass.m4a,/vol/vssp/maruss/data2/MUS2017/NUG3/Test/016 - Forkupines - Semantics/bass.wav
16,0,2,13,1,drums,NUG3,SAR,9.434002075249904,Forkupines - Semantics,Pop/Rock,16_NUG3_drums.m4a,/vol/vssp/maruss/data2/MUS2017/NUG3/Test/016 - Forkupines - Semantics/drums.wav
16,0,3,13,1,other,NUG3,SAR,6.413076437832139,Forkupines - Semantics,Pop/Rock,16_NUG3_other.m4a,/vol/vssp/maruss/data2/MUS2017/NUG3/Test/016 - Forkupines - Semantics/other.wav
16,0,4,13,1,vocals,NUG3,SAR,4.795715002801708,Forkupines - Semantics,Pop/Rock,16_NUG3_vocals.m4a,/vol/vssp/maruss/data2/MUS2017/NUG3/Test/016 - Forkupines - Semantics/vocals.wav
16,0,1,15,1,bass,OZE,SAR,11.880083367182676,Forkupines - Semantics,Pop/Rock,16_OZE_bass.m4a,/vol/vssp/maruss/data2/MUS2017/OZE/Test/016 - Forkupines - Semantics/bass.wav
16,0,2,15,1,drums,OZE,SAR,2.6282723161383723,Forkupines - Semantics,Pop/Rock,16_OZE_drums.m4a,/vol/vssp/maruss/data2/MUS2017/OZE/Test/016 - Forkupines - Semantics/drums.wav
16,0,3,15,1,other,OZE,SAR,4.7600683825502506,Forkupines - Semantics,Pop/Rock,16_OZE_other.m4a,/vol/vssp/maruss/data2/MUS2017/OZE/Test/016 - Forkupines - Semantics/other.wav
16,0,4,15,1,vocals,OZE,SAR,5.345164147669599,Forkupines - Semantics,Pop/Rock,16_OZE_vocals.m4a,/vol/vssp/maruss/data2/MUS2017/OZE/Test/016 - Forkupines - Semantics/vocals.wav
16,0,1,23,1,bass,UHL3,SAR,5.687294839255428,Forkupines - Semantics,Pop/Rock,16_UHL3_bass.m4a,/vol/vssp/maruss/data2/MUS2017/UHL3/Test/016 - Forkupines - Semantics/bass.wav
16,0,2,23,1,drums,UHL3,SAR,11.837477356074722,Forkupines - Semantics,Pop/Rock,16_UHL3_drums.m4a,/vol/vssp/maruss/data2/MUS2017/UHL3/Test/016 - Forkupines - Semantics/drums.wav
16,0,3,23,1,other,UHL3,SAR,7.405024742592914,Forkupines - Semantics,Pop/Rock,16_UHL3_other.m4a,/vol/vssp/maruss/data2/MUS2017/UHL3/Test/016 - Forkupines - Semantics/other.wav
16,0,4,23,1,vocals,UHL3,SAR,7.229363343067945,Forkupines - Semantics,Pop/Rock,16_UHL3_vocals.m4a,/vol/vssp/maruss/data2/MUS2017/UHL3/Test/016 - Forkupines - Semantics/vocals.wav
16,0,1,3,1,bass,ref,SAR,,Forkupines - Semantics,Pop/Rock,,/vol/vssp/maruss/data2/DSD100/Sources/Test/016 - Forkupines - Semantics/bass.wav
16,0,1,3,1,drums,ref,SAR,,Forkupines - Semantics,Pop/Rock,,/vol/vssp/maruss/data2/DSD100/Sources/Test/016 - Forkupines - Semantics/drums.wav
16,0,1,3,1,other,ref,SAR,,Forkupines - Semantics,Pop/Rock,,/vol/vssp/maruss/data2/DSD100/Sources/Test/016 - Forkupines - Semantics/other.wav
16,0,1,3,1,vocals,ref,SAR,,Forkupines - Semantics,Pop/Rock,,/vol/vssp/maruss/data2/DSD100/Sources/Test/016 - Forkupines - Semantics/vocals.wav
